Animal Name,Type of Animal,Primary Breed,TPD Sector,Latitude & Longitude,count
YORKIE,DOG,YORKSHIRE TERR,2,"(47.250558, -122.51251)",1
JACKSON R,DOG,LABRADOR RETR,2,"(47.254145, -122.487929)",1
ANNIE,DOG,CHIHUAHUA SH,4,"(47.211556, -122.437114)",1
PARKER,DOG,PUG,4,"(47.211556, -122.437114)",1
BOY BOY,DOG,PIT BULL,4,"(47.205638, -122.416952)",1
KARMA,DOG,PIT BULL,4,"(47.205638, -122.416952)",1
CINNAMON,DOG,CHIHUAHUA SH,4,"(47.198038, -122.40262)",1
PRECIOUS,DOG,CHIHUAHUA SH,4,"(47.198038, -122.40262)",1
LOLA,DOG,WEST HIGHLAND,4,"(47.202788, -122.407592)",1
BENTLEY,DOG,AUST CATTLE DOG,4,"(47.233635, -122.398198)",1
ROCKY,DOG,ROTTWEILER,4,"(47.233635, -122.398198)",1
BUDWEISER,CAT,AMER SH,4,"(47.21779, -122.440851)",1
TAINUM,CAT,DOMESTIC SH,3,"(47.207538, -122.477542)",1
KNUTE,DOG,AUST CATTLE DOG,4,"(47.201377, -122.448792)",1
SCHOTZIE,DOG,AUST CATTLE DOG,4,"(47.201377, -122.448792)",1
MARTY,DOG,LABRADOR RETR,2,"(47.243177, -122.47882)",1
LIL E,DOG,AUST TERRIER,4,"(47.219408, -122.432422)",1
ANNABELLE,DOG,DACHSHUND,2,"(47.276068, -122.498263)",1
BELLAH,DOG,SCHNAUZER MIN,2,"(47.296477, -122.51662)",1
GRACIE,CAT,DOMESTIC LH,2,"(47.255406, -122.539938)",1
LOLA,DOG,BORDER TERRIER,2,"(47.243725, -122.511255)",1
FREDRICK,CAT,SIAMESE,2,"(47.251397, -122.49329)",1
KAREN,DOG,GERM SHEPHERD,4,"(47.229057, -122.418862)",1
NALU,DOG,GOLDEN RETR,2,"(47.275477, -122.49492)",1
KAT,CAT,DOMESTIC SH,1,"(47.254903, -122.465608)",1
MISTY LEE,DOG,BELG MALINOIS,4,"(47.217771, -122.438612)",1
SIMBO,DOG,POODLE STND,2,"(47.247845, -122.489904)",1
CHARLIE,DOG,DACHSHUND,2,"(47.247706, -122.493413)",1
WOODSTOCK,CAT,DOMESTIC LH,2,"(47.260477, -122.445682)",1
AMIE,CAT,DOMESTIC SH,1,"(47.255858, -122.441022)",1
PATSY,CAT,DOMESTIC SH,5,"(47.227168, -122.520201)",1
PRINCESS,CAT,DOMESTIC MH,2,"(47.266163, -122.508287)",1
LOUIS,DOG,BOSTON TERRIER,2,"(47.297125, -122.529204)",1
MIA,DOG,CHIHUAHUA SH,1,"(47.304184, -122.422921)",1
JINKS,CAT,DOMESTIC SH,2,"(47.257304, -122.488253)",1
TANNER,DOG,BULL TERRIER,4,"(47.224258, -122.40722)",1
TEMPIE,CAT,AMER SH,1,"(47.2976, -122.388142)",1
KING TUT,DOG,PUG,2,"(47.240179, -122.485218)",1
BOSTON,DOG,POMERANIAN,1,"(47.291875, -122.386793)",1
DARBY,DOG,LABRADOR RETR,3,"(47.21848, -122.454594)",1
BOZI,CAT,DOMESTIC SH,2,"(47.266265, -122.524256)",1
DEE DEE,DOG,DANDIE DINMONT,4,"(47.219477, -122.43952)",1
ARROW,DOG,BORDER COLLIE,2,"(47.282577, -122.50072)",1
ROCKEE,DOG,POODLE STND,5,"(47.222827, -122.512701)",1
BEXAR,DOG,AUST SHEPHERD,2,"(47.257077, -122.46612)",1
MR HOOPS,DOG,BEAGLE,2,"(47.253414, -122.532302)",1
LADY,DOG,YORKSHIRE TERR,2,"(47.257498, -122.515932)",1
SCOOTER,DOG,YORKSHIRE TERR,2,"(47.257498, -122.515932)",1
TEDDYBEAR,DOG,ALASK MALAMUTE,2,"(47.253689, -122.465904)",1
BABYDOLL,DOG,ALASK MALAMUTE,2,"(47.253689, -122.465904)",1
CHALUPA,DOG,PUG,4,"(47.220577, -122.417201)",1
GUNNY,CAT,DOMESTICMEDHAIR,5,"(47.239626, -122.509554)",1
GASTON,DOG,FRENCH BULLDOG,2,"(47.249697, -122.472134)",1
GIZMO,DOG,YORKSHIRE TERR,2,"(47.264844, -122.492)",1
LOOMIS,DOG,LABRADOR RETR,1,"(47.257234, -122.457742)",1
RAMSEY,DOG,YORKSHIRE TERR,5,"(47.222448, -122.509202)",1
KIYA,DOG,SIBERIAN HUSKY,2,"(47.285223, -122.496913)",1
TEDDY,DOG,SHIBA INU,2,"(47.271331, -122.466491)",1
SMOKEY BEAR,DOG,AMER ESKIMO,2,"(47.271331, -122.466491)",1
MISTY,DOG,GREYHOUND,1,"(47.284377, -122.36632)",1
LILY,CAT,AMER SH,2,"(47.288806, -122.498127)",1
ZOE,DOG,DACHSHUND WH,1,"(47.274854, -122.362758)",1
PATCHES,CAT,DOMESTIC SH,2,"(47.282298, -122.500231)",1
CHLOE,DOG,DOBERMAN PINSCH,4,"(47.231077, -122.40352)",1
DECOY,DOG,LABRADOR RETR,2,"(47.281113, -122.482219)",1
MATILDA,CAT,DOMESTIC SH,2,"(47.254193, -122.498097)",1
REGGIE,DOG,PIT BULL,2,"(47.290138, -122.51452)",1
PATCH,CAT,DOMESTIC SH,4,"(47.229805, -122.425219)",1
ZIPPY,DOG,CHIHUAHUA SH,3,"(47.202594, -122.494839)",1
POPPY,CAT,DOMESTIC SH,4,"(47.221177, -122.43812)",1
LEXI,DOG,CAVALIER SPAN,4,"(47.184135, -122.448994)",1
VASSAR,DOG,LABRADOR RETR,2,"(47.262987, -122.491964)",1
KODA,DOG,GERM SHEPHERD,4,"(47.179877, -122.42262)",1
ZOOEY,DOG,LABRADOR RETR,4,"(47.179877, -122.42262)",1
LILY,CAT,DOMESTIC SH,4,"(47.179877, -122.42262)",1
RUBY,DOG,GERM SHEPHERD,1,"(47.299798, -122.400954)",1
MAX,DOG,ROTTWEILER,1,"(47.299798, -122.400954)",1
BABY LOVE,DOG,PARSON RUSS TER,3,"(47.232759, -122.485737)",1
KIKI,DOG,DACHSHUND,3,"(47.210397, -122.459835)",1
CHESTER,CAT,DOMESTIC SH,3,"(47.215904, -122.461148)",1
LUCY,DOG,SHIH TZU,1,"(47.297754, -122.396227)",1
LOLA,DOG,SHIH TZU,1,"(47.297754, -122.396227)",1
GINGER,DOG,SCHNAUZER MIN,3,"(47.205916, -122.474729)",1
TANK,DOG,WELSH CORGI CAR,4,"(47.193568, -122.423498)",1
TYE,DOG,SHETLD SHEEPDOG,4,"(47.193568, -122.423498)",1
MATTY,DOG,BICHON FRISE,4,"(47.184168, -122.442324)",1
VIE,DOG,GOLDEN RETR,2,"(47.286029, -122.496907)",1
LICK A LOT,CAT,DOMESTIC SH,3,"(47.220291, -122.455293)",1
MINI,CAT,DOMESTIC SH,2,"(47.255677, -122.50142)",1
MOTO,CAT,DOMESTIC MH,2,"(47.255677, -122.50142)",1
FLUFFY,CAT,DOMESTIC LH,2,"(47.286961, -122.519015)",1
FROSTI,CAT,DOMESTIC SH,2,"(47.286961, -122.519015)",1
SLY,CAT,DOMESTIC SH,4,"(47.184188, -122.427179)",1
REINER,DOG,DACHSHUND,2,"(47.266115, -122.502566)",1
INDEEGO UNO,CAT,AMER SH,1,"(47.245182, -122.459399)",1
ACE,DOG,BORDER COLLIE,2,"(47.260809, -122.444213)",1
SCOUT,DOG,WELSH CORGI PEM,2,"(47.260809, -122.444213)",1
GRETA,DOG,DACHSHUND,2,"(47.266218, -122.525472)",1
BILLIE,CAT,DOMESTIC SH,3,"(47.218038, -122.460891)",1
AMY,DOG,CHIHUAHUA LH,2,"(47.250693, -122.500002)",1
STORM,CAT,DOMESTIC SH,1,"(47.250077, -122.45522)",1
CYPER,CAT,DOMESTIC SH,1,"(47.250077, -122.45522)",1
TEDDY,DOG,BEAGLE,3,"(0, 0)",1
BAM BAM,CAT,DOMESTIC SH,3,"(47.219598, -122.46892)",1
KOGE,DOG,LABRADOR RETR,2,"(47.254142, -122.485549)",1
CHARLIE,DOG,ENG BULLDOG,2,"(47.258679, -122.459813)",1
COOPER,DOG,DOBERMAN PINSCH,3,"(47.212133, -122.501667)",1
SHILO,DOG,GERM SHEPHERD,3,"(47.202434, -122.474712)",1
DOA,DOG,PIT BULL,4,"(47.221577, -122.41492)",1
MARLEY,DOG,CHIHUAHUA SH,1,"(47.284777, -122.37192)",1
WATSON,DOG,SCOT TERRIER,2,"(47.27524, -122.527283)",1
DIGBY,DOG,PAPILLON,4,"(47.217943, -122.44154)",1
DAISY,DOG,PAPILLON,4,"(47.217943, -122.44154)",1
CHLOE,DOG,GOLDEN RETR,2,"(47.287848, -122.503562)",1
ODIN,DOG,GERM SH POINT,4,"(47.194577, -122.39952)",1
RUCKUS,DOG,TR WALKER HOUND,1,"(47.236277, -122.45212)",1
ARCHER,DOG,LABRADOR RETR,2,"(47.250686, -122.498674)",1
BIG MAC,DOG,CHIHUAHUA SH,3,"(47.215668, -122.477672)",1
BOO BOO BEAR,CAT,DOMESTIC SH,4,"(47.208038, -122.441335)",1
RASCAL,DOG,RAT TERRIER,4,"(47.208038, -122.441335)",1
LIZZY,DOG,SHIH TZU,3,"(47.196713, -122.491915)",1
OREO BLIZZAR,CAT,DOMESTIC SH,3,"(47.209568, -122.474624)",1
BG,CAT,DOMESTIC SH,4,"(47.194436, -122.445479)",1
ROSIE,DOG,LABRADOR RETR,2,"(47.254142, -122.48575)",1
SOONER,DOG,BRITTANY,4,"(47.189559, -122.450113)",1
TRELAWNY,DOG,SHIH TZU,5,"(47.237761, -122.509544)",1
HAZEL,DOG,GOLDEN RETR,1,"(47.301377, -122.40452)",1
STEELER,DOG,AM PIT BULL TER,4,"(47.195577, -122.40952)",1
SEBASTIAN,CAT,DOMESTIC SH,2,"(47.243006, -122.517543)",1
DAKOTA,DOG,BERNESE MTN DOG,4,"(47.175375, -122.458245)",1
DUDLEY,DOG,DACHSHUND,3,"(47.202994, -122.494054)",1
SKY,DOG,AUST SHEPHERD,4,"(47.204951, -122.445487)",1
GOLDIE,DOG,LABRADOR RETR,3,"(47.191581, -122.492629)",1
LEO,DOG,SCHNAUZER MIN,2,"(47.266818, -122.472442)",1
BOB,CAT,DOMESTIC SH,4,"(47.235171, -122.417704)",1
COUGAR,CAT,DOMESTIC SH,2,"(47.263191, -122.445899)",1
TUCKER,DOG,SCHNAUZER MIN,3,"(47.211448, -122.471986)",1
PRINCE FLUFF,DOG,POMERANIAN,1,"(47.249098, -122.455027)",1
BEAR,DOG,ROTTWEILER,3,"(47.223407, -122.493968)",1
DIAMOND,DOG,PIT BULL,3,"(47.223407, -122.493968)",1
AUTUMN,CAT,DOMESTIC MH,4,"(47.186277, -122.43562)",1
NORTH,CAT,DOMESTIC SH,2,"(47.257498, -122.515952)",1
TESSIE,CAT,DOMESTIC SH,2,"(47.26076, -122.468958)",1
TINA,DOG,CHIHUAHUA SH,3,"(47.185598, -122.45422)",1
HUSE,DOG,MALTESE,4,"(47.174458, -122.426758)",1
COOKIE,DOG,GERM SHEPHERD,2,"(47.260719, -122.472438)",1
ROCKET,CAT,DOMESTIC SH,5,"(47.221888, -122.518222)",1
JASPER,DOG,BOXER,2,"(47.254144, -122.487224)",1
ROSCO,DOG,BOXER,2,"(47.254144, -122.487224)",1
EVAN,DOG,YORKSHIRE TERR,2,"(47.270777, -122.50042)",1
KANGA,DOG,POODLE STND,1,"(47.314388, -122.425023)",1
KODA,DOG,AUST SHEPHERD,2,"(47.297949, -122.520572)",1
WHISKEY,DOG,CANAAN DOG,1,"(47.239459, -122.445078)",1
HERCULES,DOG,CHIHUAHUA SH,4,"(47.194678, -122.452219)",1
LOUIE,DOG,LHASA APSO,2,"(47.24543, -122.553372)",1
RYE,DOG,CHOW CHOW,1,"(47.239558, -122.459969)",1
CHARLIE,DOG,GOLDEN RETR,2,"(47.268002, -122.486697)",1
BENTLEY,DOG,MALTESE,4,"(47.227259, -122.439565)",1
TULIP,DOG,SHIH TZU,3,"(47.198792, -122.498657)",1
HUDSON,DOG,ROTTWEILER,4,"(47.198277, -122.433201)",1
NATALIE,CAT,DOMESTIC LH,3,"(47.208188, -122.499502)",1
MORGAN,DOG,LABRADOR RETR,2,"(47.285364, -122.517402)",1
OBAMA,CAT,DOMESTIC SH,2,"(47.26838, -122.470756)",1
NINO,DOG,LABRADOR RETR,4,"(47.195553, -122.41006)",1
GABBY,DOG,SHETLD SHEEPDOG,4,"(47.194466, -122.426918)",1
SYDNEY,DOG,DACHSHUND,2,"(47.276064, -122.497739)",1
BOOGEY,DOG,DACHSHUND LH,2,"(47.259977, -122.465573)",1
LUCREZIA,CAT,DOMESTIC LH,1,"(47.250283, -122.444953)",1
TEA,DOG,YORKSHIRE TERR,3,"(47.201531, -122.454707)",1
MINNIE,DOG,LHASA APSO,2,"(47.252596, -122.46792)",1
TESSA,DOG,PARSON RUSS TER,3,"(47.230788, -122.496247)",1
SAWYER,CAT,DOMESTIC SH,1,"(47.290775, -122.38389)",1
BELLA,DOG,SIBERIAN HUSKY,2,"(47.27876, -122.506127)",1
MURPHY,DOG,COCKER SPAN,2,"(47.260192, -122.476634)",1
CHOPPER,DOG,PIT BULL,4,"(47.219276, -122.400156)",1
MUFFIN,CAT,DOMESTIC SH,2,"(47.263377, -122.47582)",1
PEPE,CAT,DOMESTIC SH,4,"(47.182098, -122.439052)",1
BEAMER,DOG,LABRADOR RETR,1,"(47.284794, -122.374853)",1
MAE,DOG,SHETLD SHEEPDOG,2,"(47.246235, -122.476873)",1
MIMI,DOG,CHIHUAHUA SH,1,"(47.25415, -122.44284)",1
CADENCE,CAT,DOMESTIC SH,2,"(47.263065, -122.468959)",1
RUSTY,DOG,GOLDEN RETR,4,"(47.200524, -122.401957)",1
OLIVER,CAT,AMER SH,2,"(47.275, -122.475617)",1
XENA,DOG,LABRADOR RETR,4,"(47.214613, -122.423044)",1
BAYBAY,DOG,MIN PINSCHER,4,"(47.212677, -122.41532)",1
MOLLY,DOG,PIT BULL,2,"(47.272702, -122.487072)",1
SIR SITSALOT,CAT,DOMESTIC SH,2,"(47.259838, -122.46332)",1
SEDONA,DOG,CHIHUAHUA SH,1,"(47.241777, -122.44532)",1
MINEA,DOG,SIBERIAN HUSKY,2,"(47.257648, -122.46782)",1
NATALIE,DOG,GREYHOUND,2,"(47.240777, -122.55122)",1
HOKULEA,CAT,DOMESTIC SH,3,"(47.192124, -122.493748)",1
MOJO,DOG,DACHSHUND,3,"(47.209923, -122.495274)",1
GIDGET,CAT,DOMESTIC SH,3,"(47.209923, -122.495274)",1
ROO,DOG,CHIHUAHUA SH,2,"(47.244064, -122.489525)",1
RAMUS,DOG,SCHNAUZER MIN,2,"(47.296338, -122.52202)",1
MARLEE,CAT,DOMESTIC SH,1,"(47.305389, -122.427413)",1
MAX,DOG,LABRADOR RETR,2,"(47.267707, -122.533392)",1
COOPER,DOG,LABRADOR RETR,2,"(47.267707, -122.533392)",1
ELVIS,DOG,REDBONE HOUND,2,"(47.262984, -122.451643)",1
JJ,CAT,DOMESTIC SH,5,"(47.224202, -122.515045)",1
MISSY,CAT,DOMESTIC SH,5,"(47.224202, -122.515045)",1
MR BELLA,CAT,DOMESTIC SH,2,"(47.291684, -122.517449)",1
BEA,DOG,LABRADOR RETR,4,"(47.220577, -122.417201)",1
MOSES,CAT,DOMESTIC SH,1,"(47.257051, -122.456845)",1
KIRA,DOG,POMERANIAN,1,"(47.24087, -122.451082)",1
LIDNY,CAT,DOMESTIC SH,4,"(47.21176, -122.419539)",1
PENNY,DOG,AMERICAN STAFF,4,"(47.215144, -122.41965)",1
HEIDI,DOG,DACHSHUND,4,"(47.215144, -122.41965)",1
SIMONE,CAT,DOMESTICMEDHAIR,2,"(47.252297, -122.511375)",1
ROSIE,CAT,DOMESTIC LH,4,"(47.232276, -122.407203)",1
AGUSTIS,CAT,DOMESTIC SH,2,"(47.264513, -122.466224)",1
OG,CAT,DOMESTIC SH,2,"(47.264513, -122.466224)",1
OTTO,DOG,COTON DE TULEAR,2,"(47.250895, -122.473028)",1
POLLY,CAT,DOMESTIC SH,2,"(47.266679, -122.492031)",1
NALA,CAT,DOMESTIC SH,4,"(47.212476, -122.415286)",1
BLU,DOG,POMERANIAN,4,"(47.217774, -122.44892)",1
SKEETER,DOG,CHIHUAHUA SH,3,"(47.199531, -122.478058)",1
SID,CAT,DOMESTIC SH,3,"(47.218518, -122.48092)",1
ABBY,CAT,DOMESTIC SH,3,"(47.218518, -122.48092)",1
SCRAPPY,DOG,CHIHUAHUA SH,4,"(47.190677, -122.44022)",1
TUX,CAT,DOMESTIC SH,4,"(47.19167, -122.444903)",1
LUCY,DOG,BLACK TAN HOUND,2,"(47.253877, -122.46742)",1
SPROCKET,DOG,ROTTWEILER,1,"(47.254903, -122.465608)",1
BLUE,DOG,LABRADOR RETR,2,"(47.292877, -122.50342)",1
ANNIE,DOG,BEAGLE,4,"(47.194466, -122.426918)",1
LOUIS,CAT,DOMESTIC LH,3,"(47.198577, -122.47322)",1
BLACKIE,CAT,DOMESTIC SH,5,"(47.231545, -122.515809)",1
HARLEY,DOG,LABRADOR RETR,4,"(47.229807, -122.394229)",1
RUBY,DOG,LABRADOR RETR,3,"(47.227777, -122.456201)",1
NINKASI,DOG,WELSH CORGI CAR,2,"(47.261774, -122.44492)",1
BUDDIE,DOG,CHIHUAHUA SH,2,"(47.264177, -122.46312)",1
HOLLYWOOD,DOG,MASTIFF,4,"(47.195773, -122.42462)",1
FRANK,DOG,GERM SHEPHERD,4,"(47.176377, -122.44632)",1
SHADOW,CAT,DOMESTIC LH,1,"(47.296734, -122.387762)",1
BUDDHA,DOG,CHIHUAHUA SH,1,"(47.296734, -122.387762)",1
HOUDINI,DOG,SIBERIAN HUSKY,4,"(47.207893, -122.447539)",1
NALA,DOG,PIT BULL,4,"(47.207893, -122.447539)",1
DORA,DOG,CHIHUAHUA SH,2,"(47.246338, -122.530072)",1
CALLIE,CAT,DOMESTICMEDHAIR,2,"(47.272265, -122.518799)",1
PENNY,DOG,POMERANIAN,3,"(47.197801, -122.473997)",1
NALLY,CAT,DOMESTIC LH,3,"(47.218693, -122.479512)",1
TESS,DOG,DACHSHUND LH,4,"(47.219249, -122.440165)",1
SCHATZE,CAT,DOMESTIC SH,2,"(47.287851, -122.49763)",1
CHANG,CAT,HIMALAYAN,2,"(47.258748, -122.458625)",1
LEXI,DOG,BRUSS GRIFFON,1,"(47.307333, -122.417954)",1
SABRINA,CAT,DOMESTIC SH,2,"(47.273767, -122.525089)",1
IRENE,CAT,SIAMESE,2,"(47.273767, -122.525089)",1
KAISER,DOG,SIBERIAN HUSKY,2,"(47.283773, -122.517598)",1
MATTIE,DOG,LABRADOR RETR,1,"(47.311556, -122.413891)",1
RIDLEY,DOG,GR SWISS MTN,4,"(47.218693, -122.415729)",1
PEACHES,CAT,DOMESTIC SH,4,"(47.218693, -122.415729)",1
ARLO,DOG,GOLDEN RETR,2,"(47.281358, -122.500792)",1
BLUE,DOG,AUST SHEPHERD,2,"(47.288806, -122.498127)",1
AMENADIEL,DOG,RHOD RIDGEBACK,1,"(47.309978, -122.41992)",1
MAVERICK,DOG,GERM SHEPHERD,2,"(47.291775, -122.52332)",1
SADIE,DOG,CHIHUAHUA LH,3,"(47.215668, -122.477672)",1
STRASSE,DOG,WEST HIGHLAND,2,"(47.244177, -122.49472)",1
BELLA GRACE,CAT,DOMESTIC MH,4,"(47.191677, -122.43962)",1
WAFFLES,DOG,DACHSHUND,2,"(47.296577, -122.52922)",1
OREGANO,CAT,DOMESTIC SH,2,"(47.260189, -122.447147)",1
UNDO,DOG,GERM SHEPHERD,4,"(47.21768, -122.427609)",1
CERBERUS,DOG,MASTIFF,4,"(47.222777, -122.42922)",1
FRANCIS,CAT,DOMESTIC SH,2,"(47.276051, -122.492431)",1
KITTY,DOG,AUST CATTLE DOG,4,"(47.200253, -122.428336)",1
SMOKEY,DOG,PIT BULL,4,"(47.226978, -122.420412)",1
ZOEY,DOG,YORKSHIRE TERR,1,"(47.283939, -122.387763)",1
COCO,DOG,YORKSHIRE TERR,2,"(47.277451, -122.500259)",1
P NUT,DOG,CHIHUAHUA SH,4,"(47.203856, -122.439753)",1
EDDIE,DOG,SHIBA INU,2,"(47.269484, -122.469998)",1
HUMPHRY,DOG,GERM SHEPHERD,2,"(47.281358, -122.500792)",1
GRACIE,DOG,AUST SHEPHERD,2,"(47.246177, -122.48662)",1
ESME,DOG,WHIPPET,2,"(47.264448, -122.454912)",1
APOLLO,DOG,AM PIT BULL TER,3,"(47.219598, -122.46892)",1
GOLIATH,CAT,DOMESTICMEDHAIR,2,"(47.254261, -122.529567)",1
PICKLES,DOG,SHIH TZU,3,"(47.227774, -122.467201)",1
ROXXY,DOG,AMERICAN STAFF,5,"(47.221277, -122.514201)",1
YGRITTE,DOG,AUST CATTLE DOG,2,"(47.273314, -122.498688)",1
TROOPER,DOG,DACHSHUND,2,"(47.255046, -122.49252)",1
BUDDY,CAT,DOMESTIC SH,1,"(47.236897, -122.46437)",1
MAX,DOG,SCHNAUZER MIN,2,"(47.265977, -122.52922)",1
PACO,DOG,PIT BULL,2,"(47.252531, -122.490786)",1
SAM,DOG,SIBERIAN HUSKY,3,"(47.228679, -122.490082)",1
GYPSY,DOG,BORDER COLLIE,2,"(47.259867, -122.46352)",1
HECTOR,DOG,GERM SHEPHERD,2,"(47.259867, -122.46352)",1
MAC,DOG,CHIHUAHUA SH,4,"(47.220846, -122.440258)",1
MISSY,CAT,AMER SH,2,"(47.263774, -122.50012)",1
ROCKY,CAT,DOMESTIC SH,2,"(47.271872, -122.533521)",1
MARIGOLD,DOG,GOLDEN RETR,2,"(47.270412, -122.49074)",1
GLADYS,DOG,PIT BULL,2,"(47.247677, -122.469946)",1
MR. PICKLES,CAT,DOMESTIC SH,2,"(47.263804, -122.473084)",1
COCO,DOG,DACHSHUND,2,"(47.286703, -122.502141)",1
MEEKO,DOG,AUST CATTLE DOG,3,"(47.202465, -122.498654)",1
SABLE,DOG,SIBERIAN HUSKY,1,"(47.303714, -122.422277)",1
RUFUS,DOG,PARSON RUSS TER,1,"(47.246448, -122.43952)",1
DINGO,DOG,BOXER,4,"(47.208377, -122.421806)",1
ROSIE,DOG,PUG,2,"(47.263777, -122.46182)",1
NEWTON,DOG,PUG,2,"(47.293377, -122.51482)",1
TINKERBELL,DOG,CHIHUAHUA SH,2,"(47.282777, -122.51222)",1
ZOEY,DOG,CHIHUAHUA SH,2,"(47.282777, -122.51222)",1
SWEETY,CAT,SIAMESE,3,"(47.220291, -122.455293)",1
TYSON,DOG,CHIHUAHUA SH,1,"(47.240977, -122.46182)",1
SOFIE,DOG,CHIHUAHUA SH,1,"(47.301425, -122.413518)",1
DORA,DOG,CHIHUAHUA SH,3,"(47.204038, -122.505222)",1
TOMAS,DOG,GERM SHEPHERD,4,"(47.221451, -122.434612)",1
CAS,DOG,AUST SHEPHERD,4,"(47.226877, -122.44812)",1
MARIO,DOG,CHIHUAHUA SH,3,"(47.192528, -122.48142)",1
BELLAH,DOG,CHIHUAHUA SH,3,"(47.220071, -122.494857)",1
MAX,DOG,GERM SHEPHERD,4,"(47.190526, -122.441544)",1
BLINKIN,DOG,PIT BULL,3,"(47.228877, -122.49122)",1
XENA,DOG,PIT BULL,4,"(47.218861, -122.437966)",1
BUSTER,DOG,AUST CATTLE DOG,4,"(47.177053, -122.444984)",1
CLEO,DOG,BEAGLE,5,"(47.223604, -122.521818)",1
SPOOKY 2,CAT,DOMESTIC LH,4,"(47.200176, -122.417382)",1
CREAM PUFFY,CAT,SIAMESE,4,"(47.200176, -122.417382)",1
THUMPER,CAT,DOMESTIC LH,4,"(47.200176, -122.417382)",1
JET,CAT,DOMESTIC SH,4,"(47.200176, -122.417382)",1
BOSCOE,DOG,CANE CORSO,3,"(47.207178, -122.468022)",1
WILLOW,CAT,DOMESTIC SH,2,"(47.274283, -122.504999)",1
LOLO,DOG,AUST SHEPHERD,4,"(47.184216, -122.440269)",1
PUDDIN,DOG,GREAT DANE,1,"(47.30652, -122.419904)",1
JUSTIN,DOG,COCKER SPAN,1,"(47.304272, -122.410684)",1
RHUBARB,CAT,DOMESTIC SH,2,"(47.262432, -122.474024)",1
ZUKO,DOG,CHOW CHOW,2,"(47.25505, -122.493044)",1
FLEDER,DOG,SCOT TERRIER,4,"(47.228837, -122.430474)",1
THOMAS,DOG,CHIHUAHUA SH,2,"(47.281115, -122.510123)",1
SPUMONI,DOG,WEST HIGHLAND,2,"(47.266557, -122.456956)",1
HERCULES,DOG,ROTTWEILER,3,"(47.217604, -122.4549)",1
PAWS,DOG,GERM SHEPHERD,1,"(47.236988, -122.45222)",1
CANDY,DOG,GERM SHEPHERD,2,"(47.277518, -122.518727)",1
BARNEY,DOG,POODLE STND,2,"(47.268537, -122.471851)",1
COCO PUFF,DOG,SHIH TZU,2,"(47.253592, -122.49679)",1
ORBIT,DOG,LABRADOR RETR,2,"(47.269438, -122.474051)",1
SADIE,CAT,DOMESTIC SH,5,"(47.24227, -122.515155)",1
DEX,CAT,DOMESTIC SH,5,"(47.24227, -122.515155)",1
MINNIE,CAT,DOMESTIC SH,5,"(47.24227, -122.515155)",1
AMAREE,DOG,CHOW CHOW,3,"(47.20788, -122.474619)",1
GARDNER,CAT,DOMESTIC SH,2,"(47.266679, -122.492031)",1
MOOKIE,CAT,DOMESTIC SH,2,"(47.266679, -122.492031)",1
RALPHIE,DOG,BICHON FRISE,1,"(47.237477, -122.45822)",1
STEWIE,DOG,YORKSHIRE TERR,2,"(47.268438, -122.508847)",1
KITT,CAT,BENGAL,1,"(47.254777, -122.454201)",1
OLIVE,CAT,DOMESTIC SH,1,"(47.236377, -122.46442)",1
SHOKKETTA,CAT,DOMESTIC SH,2,"(47.271618, -122.517972)",1
SOLAR,DOG,AUST CATTLE DOG,2,"(47.254928, -122.471682)",1
BODHI,CAT,ORIENTAL SH,1,"(47.257182, -122.442684)",1
LEO,DOG,CHIHUAHUA SH,2,"(47.249318, -122.485702)",1
SADIE MAE,DOG,GERM SHEPHERD,2,"(47.301208, -122.513381)",1
CRASH,DOG,GREYHOUND,1,"(47.300768, -122.394182)",1
MOE,DOG,GREYHOUND,1,"(47.300768, -122.394182)",1
BOSSMAM,DOG,CHIHUAHUA SH,4,"(47.230177, -122.44032)",1
TACOMA,DOG,BULLDOG,1,"(47.299198, -122.391652)",1
CHLOE,CAT,AMER SH,2,"(47.245876, -122.488636)",1
MIMI,CAT,DOMESTIC SH,2,"(47.267894, -122.527504)",1
MOLLY,DOG,POODLE STND,1,"(47.2976, -122.388142)",1
ROSIE,DOG,AUST CATTLE DOG,2,"(47.249908, -122.53282)",1
RAIN,DOG,SHIH TZU,4,"(47.208577, -122.44932)",1
MAGS,CAT,DOMESTIC SH,3,"(47.200348, -122.499952)",1
SHELBY,DOG,LABRADOR RETR,3,"(47.225774, -122.45872)",1
MINION,DOG,SIBERIAN HUSKY,5,"(47.222814, -122.525952)",1
KENAI,DOG,SAMOYED,2,"(47.270505, -122.486057)",1
TUEXEDO,CAT,DOMESTIC SH,2,"(47.281347, -122.509427)",1
MOLLY,DOG,WEST HIGHLAND,5,"(47.231545, -122.515809)",1
SATAN,CAT,DOMESTIC SH,5,"(47.231545, -122.515809)",1
ZOE,DOG,POODLE STND,1,"(47.286271, -122.402121)",1
COOKIE II,DOG,DACHSHUND,4,"(47.207569, -122.436026)",1
ZAZU,DOG,YORKSHIRE TERR,3,"(47.214309, -122.478123)",1
COCO,DOG,YORKSHIRE TERR,3,"(47.201531, -122.454707)",1
ANGEL,DOG,AUST CATTLE DOG,1,"(47.244049, -122.463539)",1
SCRAPPY,DOG,CHIHUAHUA SH,5,"(47.240975, -122.507255)",1
GUSTO,DOG,GERM SHEPHERD,2,"(47.270388, -122.503586)",1
